<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.01.02	00:05:00	43624.48	43624.48	43542.77	43579.00	840	0	357
2024.01.02	00:10:00	43581.00	43584.35	43520.74	43530.76	675	0	357
2024.01.02	00:15:00	43531.11	43553.32	43458.30	43460.92	1185	0	364
2024.01.02	00:20:00	43462.20	43511.93	43352.87	43491.00	748	0	408
2024.01.02	00:25:00	43491.01	43513.11	43418.53	43479.02	343	0	595
2024.01.02	00:30:00	43480.65	43535.53	43480.00	43516.01	418	0	421
2024.01.02	00:35:00	43515.93	43546.50	43493.92	43545.54	245	0	369
2024.01.02	00:40:00	43545.82	43545.83	43461.98	43463.41	503	0	417
2024.01.02	00:45:00	43463.45	43518.98	43463.39	43480.10	398	0	450
2024.01.02	00:50:00	43480.10	43483.50	43456.22	43482.60	188	0	450
2024.01.02	00:55:00	43482.64	43544.31	43482.64	43542.13	165	0	470
2024.01.02	01:00:00	43534.71	43721.00	43534.71	43703.78	847	0	1047
2024.01.02	01:05:00	43704.14	43738.50	43640.18	43684.04	962	0	367
2024.01.02	01:10:00	43685.04	43728.31	43644.60	43704.69	861	0	463
2024.01.02	01:15:00	43704.69	43788.48	43653.53	43757.86	529	0	612
2024.01.02	01:20:00	43757.87	43874.30	43757.86	43866.00	1038	0	352
2024.01.02	01:25:00	43860.50	44045.02	43846.28	44029.67	1380	0	362
2024.01.02	01:30:00	44029.52	44112.46	43952.23	44035.96	1088	0	367
2024.01.02	01:35:00	44035.89	44146.60	43950.62	44146.60	1095	0	378
2024.01.02	01:40:00	44148.15	44148.15	44058.85	44116.09	893	0	368
2024.01.02	01:45:00	44117.81	44148.70	44071.63	44102.23	479	0	354
2024.01.02	01:50:00	44102.96	44243.33	44102.96	44133.12	913	0	405
2024.01.02	01:55:00	44128.11	44216.25	44111.91	44213.50	940	0	399
2024.01.02	02:00:00	44213.50	44294.90	44175.15	44293.35	1112	0	422
2024.01.02	02:05:00	44296.80	44513.77	44296.80	44451.00	1621	0	1356
2024.01.02	02:10:00	44452.70	44722.75	44407.20	44700.55	1383	0	351
2024.01.02	02:15:00	44688.85	44825.07	44488.67	44591.98	1947	0	2590
2024.01.02	02:20:00	44590.53	44866.84	44587.50	44780.30	1750	0	2590
2024.01.02	02:25:00	44778.61	44809.11	44622.47	44654.80	1631	0	576
2024.01.02	02:30:00	44654.80	44767.70	44617.05	44695.44	1030	0	363
2024.01.02	02:35:00	44677.80	44778.35	44592.17	44634.82	919	0	351
2024.01.02	02:40:00	44634.62	44791.70	44605.22	44749.23	896	0	354
