<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2011.03.20	0.83	0.90	0.82	0.85	30584	0	0
2011.03.27	0.83	0.87	0.76	0.78	37889	0	0
2011.04.03	0.78	0.80	0.56	0.73	94677	0	0
2011.04.10	0.73	1.09	0.71	1.05	222091	0	0
2011.04.17	1.05	1.95	1.03	1.70	230933	0	0
2011.04.24	1.70	4.15	1.52	3.50	315363	0	0
2011.05.01	3.50	3.87	2.50	3.64	154499	0	0
2011.05.08	3.64	8.90	3.63	7.20	292553	0	0
2011.05.15	7.00	8.50	5.58	6.12	223190	0	0
2011.05.22	6.12	9.33	5.99	8.30	207804	0	0
2011.05.29	8.30	18.89	8.10	18.89	272942	0	0
2011.06.05	18.89	31.91	13.00	14.65	515020	0	0
2011.06.12	14.65	24.99	10.25	16.89	481842	0	0
2011.06.19	16.85	18.88	16.85	17.51	30176	0	0
2011.06.26	17.51	18.00	14.01	15.40	179644	0	0
2011.07.03	15.40	16.50	11.00	14.38	366194	0	0
2011.07.10	14.38	15.69	13.50	13.72	190882	0	0
2011.07.17	13.72	14.70	12.51	13.68	263661	0	0
2011.07.24	13.69	14.72	13.31	13.53	132600	0	0
2011.07.31	13.53	14.90	5.74	6.55	398270	0	0
2011.08.07	6.53	12.10	6.01	10.13	392063	0	0
2011.08.14	10.13	11.89	9.62	11.45	172349	0	0
2011.08.21	11.45	11.51	7.64	8.59	226798	0	0
2011.08.28	8.59	9.48	8.01	8.48	112888	0	0
2011.09.04	8.48	8.49	4.18	4.77	476412	0	0
2011.09.11	4.77	7.40	4.44	4.77	413357	0	0
2011.09.18	4.76	6.79	4.72	5.47	384635	0	0
2011.09.25	5.47	5.49	4.63	5.03	199840	0	0
2011.10.02	5.03	5.10	3.78	4.00	253056	0	0
2011.10.09	4.01	4.45	3.71	3.84	247133	0	0
2011.10.16	3.84	3.90	2.04	3.16	675342	0	0
2011.10.23	3.16	3.83	2.44	3.58	450691	0	0
2011.10.30	3.58	3.65	2.85	2.97	268867	0	0
2011.11.06	2.97	3.21	2.80	3.03	252919	0	0
2011.11.13	3.03	3.05	1.99	2.20	806150	0	0
2011.11.20	2.20	2.56	2.15	2.47	363450	0	0
2011.11.27	2.47	3.14	2.42	2.80	609044	0	0
2011.12.04	2.79	3.13	2.61	3.05	388450	0	0
2011.12.11	3.06	3.38	2.99	3.20	329698	0	0
2011.12.18	3.18	4.50	3.17	3.94	478616	0	0
2011.12.25	3.94	5.00	3.78	4.72	457488	0	0
2012.01.01	4.71	7.22	4.62	6.81	882791	0	0
2012.01.08	6.81	7.20	5.81	6.75	757491	0	0
2012.01.15	6.75	7.19	4.64	6.18	871355	0	0
2012.01.22	6.18	6.46	5.05	5.63	560590	0	0
2012.01.29	5.63	6.20	5.33	5.87	386996	0	0
2012.02.05	5.87	6.00	5.30	5.60	720246	0	0
2012.02.12	5.60	5.85	3.88	4.22	1084430	0	0
2012.02.19	4.22	5.20	4.18	4.77	595569	0	0
2012.02.26	4.77	5.10	4.51	4.62	403636	0	0
2012.03.04	4.61	5.07	4.61	4.83	334216	0	0
2012.03.11	4.83	5.45	4.81	5.21	367581	0	0
2012.03.18	5.22	5.34	4.50	4.68	475772	0	0
2012.03.25	4.68	4.95	4.30	4.91	365397	0	0
2012.04.01	4.91	5.08	4.69	4.69	419082	0	0
2012.04.08	4.69	5.03	4.62	4.96	404701	0	0
2012.04.15	4.96	5.48	4.86	5.26	385926	0	0
2012.04.22	5.26	5.33	4.85	4.98	367908	0	0
2012.04.29	4.98	5.18	4.87	5.08	308509	0	0
2012.05.06	5.08	5.12	4.80	4.95	326573	0	0
2012.05.13	4.95	5.15	4.90	5.10	282743	0	0
2012.05.20	5.10	5.17	5.05	5.11	220519	0	0
2012.05.27	5.10	5.28	5.01	5.25	243836	0	0
2012.06.03	5.25	5.70	5.18	5.56	327540	0	0
2012.06.10	5.56	6.60	5.43	6.40	379736	0	0
2012.06.17	6.40	6.80	6.03	6.43	335922	0	0
2012.06.24	6.43	6.69	6.22	6.69	276989	0	0
2012.07.01	6.69	6.87	6.40	6.76	283990	0	0
2012.07.08	6.76	7.90	6.72	7.55	345303	0	0
2012.07.15	7.54	9.70	7.32	8.85	789937	0	0
2012.07.22	8.85	9.20	7.75	8.89	357333	0	0
2012.07.29	8.89	11.30	8.70	10.98	461051	0	0
2012.08.05	10.98	12.01	10.11	11.51	379142	0	0
2012.08.12	11.51	15.40	10.60	11.61	591620	0	0
2012.08.19	11.58	11.62	7.58	10.52	759263	0	0
2012.08.26	10.60	12.15	9.66	9.97	431987	0	0
2012.09.02	9.97	11.29	9.72	11.04	270446	0	0
2012.09.09	11.04	11.80	10.78	11.75	259990	0	0
2012.09.16	11.75	12.69	11.72	12.24	223107	0	0
2012.09.23	12.24	12.49	11.63	12.36	174982	0	0
2012.09.30	12.36	13.09	12.30	12.50	210266	0	0
2012.10.07	12.51	12.62	10.62	11.86	289154	0	0
2012.10.14	11.86	12.03	11.43	11.74	181882	0	0
2012.10.21	11.74	12.00	9.74	10.26	354651	0	0
2012.10.28	10.26	11.28	10.25	10.64	218223	0	0
2012.11.04	10.64	11.22	10.51	10.90	156693	0	0
2012.11.11	10.89	11.80	10.70	11.79	202381	0	0
2012.11.18	11.79	12.48	11.57	12.42	183978	0	0
2012.11.25	12.41	12.69	11.89	12.57	189390	0	0
2012.12.02	12.56	13.69	12.43	13.42	246818	0	0
2012.12.09	13.42	13.91	13.00	13.49	229503	0	0
2012.12.16	13.49	13.72	12.75	13.37	241499	0	0
2012.12.23	13.37	13.67	13.01	13.40	160551	0	0
2012.12.30	13.41	13.59	13.16	13.44	153976	0	0
2013.01.06	13.44	14.35	13.36	14.24	250144	0	0
2013.01.13	14.24	15.99	13.95	15.62	319693	0	0
2013.01.20	15.62	19.19	15.39	17.88	532579	0	0
2013.01.27	17.88	21.43	17.21	19.63	705517	0	0
2013.02.03	19.70	23.99	19.42	23.65	788080	0	0
2013.02.10	23.80	27.60	21.72	27.22	985439	0	0
2013.02.17	27.22	31.30	25.00	29.80	888276	0	0
2013.02.24	29.80	34.90	29.20	34.25	695409	0	0
2013.03.03	34.25	49.10	33.30	46.85	852107	0	0
2013.03.10	46.61	48.47	36.65	47.00	966583	0	0
2013.03.17	47.00	74.90	46.80	64.35	1044635	0	0
2013.03.24	64.35	95.70	62.70	92.19	997678	0	0
2013.03.31	92.19	147.00	91.00	142.63	27827213	0	0
2013.04.07	142.63	266.00	54.25	93.00	34001839	0	0
2013.04.14	93.00	136.43	50.01	126.62	21911671	0	0
2013.04.21	126.62	166.44	110.00	128.00	45478943	0	0
2013.04.28	128.00	149.08	79.00	112.90	47640850	0	0
2013.05.05	112.90	124.90	97.52	115.64	54845844	0	0
2013.05.12	115.65	125.56	103.02	123.21	50662254	0	0
2013.05.19	123.21	133.89	113.47	130.75	42849528	0	0
2013.05.26	130.75	136.00	124.00	128.30	35804	0	0
2013.06.02	128.30	130.00	106.25	109.07	32729	0	0
