<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2016.10.27	18200.0	18264.0	18145.0	18175.0	74456	0	0
2016.10.28	18186.0	18254.0	18091.0	18164.0	87420	0	0
2016.10.31	18150.0	18227.0	18128.0	18161.0	65679	0	0
2016.11.01	18161.0	18206.0	17936.0	18010.0	78050	0	0
2016.11.02	18007.0	18040.0	17914.0	17950.0	89891	0	0
2016.11.03	17976.0	18014.0	17901.0	17927.0	75870	0	0
2016.11.04	17946.0	17985.0	17880.0	17886.0	76402	0	0
2016.11.07	18118.0	18267.0	18066.0	18260.0	53215	0	0
2016.11.08	18248.0	18402.0	18187.0	18334.0	68587	0	0
2016.11.09	18391.0	18648.0	17476.0	18587.0	344730	0	0
2016.11.10	18554.0	18877.0	18546.0	18809.0	149260	0	0
2016.11.11	18843.0	18889.0	18739.0	18843.0	119000	0	0
2016.11.14	18893.0	18970.0	18814.0	18871.0	106420	0	0
2016.11.15	18864.0	18924.0	18807.0	18923.0	73438	0	0
2016.11.16	18901.0	18945.0	18823.0	18869.0	66311	0	0
2016.11.17	18862.0	18901.0	18841.0	18899.0	58038	0	0
2016.11.18	18892.0	18913.0	18847.0	18865.0	53956	0	0
2016.11.21	18880.0	18956.0	18857.0	18951.0	51466	0	0
2016.11.22	18944.0	19041.0	18943.0	19022.0	52193	0	0
2016.11.23	19022.0	19083.0	19003.0	19080.0	49963	0	0
2016.11.24	19087.0	19146.0	19060.0	19139.0	30568	0	0
2016.11.25	19129.0	19165.0	19118.0	19161.0	37116	0	0
2016.11.28	19137.0	19142.0	19070.0	19102.0	58359	0	0
2016.11.29	19086.0	19143.0	19070.0	19124.0	50315	0	0
2016.11.30	19117.0	19221.0	19105.0	19132.0	59337	0	0
2016.12.01	19141.0	19212.0	19117.0	19190.0	68595	0	0
2016.12.02	19188.0	19200.0	19142.0	19171.0	57413	0	0
2016.12.05	19114.0	19282.0	19112.0	19217.0	71837	0	0
2016.12.06	19209.0	19251.0	19184.0	19246.0	49543	0	0
2016.12.07	19236.0	19559.0	19219.0	19538.0	55881	0	0
2016.12.08	19506.0	19661.0	19491.0	19608.0	73212	0	0
2016.12.09	19609.0	19753.0	19606.0	19753.0	49349	0	0
2016.12.12	19844.0	19856.0	19746.0	19793.0	66870	0	0
2016.12.13	19773.0	19955.0	19770.0	19907.0	59667	0	0
2016.12.14	19911.0	19964.0	19746.0	19793.0	71985	0	0
2016.12.15	19805.0	19949.0	19794.0	19849.0	88975	0	0
2016.12.16	19877.0	19921.0	19821.0	19847.0	59111	0	0
2016.12.19	19881.0	19917.0	19850.0	19883.0	46104	0	0
2016.12.20	19900.0	19988.0	19887.0	19968.0	42306	0	0
2016.12.21	19965.0	19985.0	19939.0	19942.0	34743	0	0
2016.12.22	19931.0	19951.0	19883.0	19916.0	38286	0	0
2016.12.23	19925.0	19942.0	19897.0	19926.0	28200	0	0
2016.12.27	19923.0	19976.0	19913.0	19947.0	23283	0	0
2016.12.28	19939.0	19978.0	19827.0	19835.0	38975	0	0
2016.12.29	19844.0	19874.0	19786.0	19821.0	46930	0	0
2016.12.30	19825.0	19872.0	19718.0	19781.0	50227	0	0
2017.01.03	19840.0	19936.0	19770.0	19873.0	58458	0	0
2017.01.04	19858.0	19952.0	19851.0	19936.0	46488	0	0
2017.01.05	19937.0	19945.0	19805.0	19896.0	50879	0	0
2017.01.06	19895.0	19998.0	19831.0	19965.0	48899	0	0
2017.01.09	19973.0	19994.0	19890.0	19896.0	40678	0	0
2017.01.10	19882.0	19958.0	19839.0	19860.0	46752	0	0
2017.01.11	19866.0	19976.0	19828.0	19947.0	67245	0	0
2017.01.12	19940.0	19943.0	19767.0	19890.0	62818	0	0
2017.01.13	19895.0	19952.0	19847.0	19884.0	46726	0	0
2017.01.16	19882.0	19884.0	19844.0	19858.0	25023	0	0
2017.01.17	19863.0	19883.0	19772.0	19827.0	55574	0	0
2017.01.18	19807.0	19855.0	19734.0	19803.0	54054	0	0
2017.01.19	19795.0	19824.0	19675.0	19733.0	51229	0	0
2017.01.20	19727.0	19845.0	19724.0	19819.0	61920	0	0
2017.01.23	19789.0	19836.0	19732.0	19802.0	56241	0	0
2017.01.24	19795.0	19949.0	19782.0	19912.0	47153	0	0
