<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.01.02	01:00:00	4778.5	4782.2	4778.1	4780.7	140	0	0
2024.01.02	01:15:00	4781.0	4782.2	4780.2	4781.7	67	0	0
2024.01.02	01:30:00	4781.5	4782.0	4780.2	4780.2	71	0	0
2024.01.02	01:45:00	4780.2	4780.7	4780.0	4780.7	28	0	0
2024.01.02	02:00:00	4780.7	4781.2	4780.5	4781.0	36	0	0
2024.01.02	02:15:00	4781.0	4781.0	4779.0	4779.2	52	0	0
2024.01.02	02:30:00	4779.0	4780.9	4778.7	4780.9	61	0	0
2024.01.02	02:45:00	4780.6	4781.1	4780.4	4780.6	38	0	0
2024.01.02	03:00:00	4780.4	4783.1	4780.3	4780.6	100	0	0
2024.01.02	03:15:00	4780.8	4782.6	4780.6	4781.1	79	0	0
2024.01.02	03:30:00	4780.8	4781.3	4777.8	4778.3	97	0	0
2024.01.02	03:45:00	4778.6	4779.8	4778.1	4778.7	99	0	0
2024.01.02	04:00:00	4778.6	4779.8	4778.6	4779.3	59	0	0
2024.01.02	04:15:00	4779.1	4779.6	4778.6	4779.1	53	0	0
2024.01.02	04:30:00	4778.8	4779.1	4778.2	4778.7	70	0	0
2024.01.02	04:45:00	4778.7	4779.1	4777.1	4778.6	69	0	0
2024.01.02	05:00:00	4778.8	4780.1	4778.6	4779.5	22	0	0
2024.01.02	05:15:00	4779.6	4779.8	4778.5	4779.3	26	0	0
2024.01.02	05:30:00	4779.1	4779.3	4778.3	4779.3	34	0	0
2024.01.02	05:45:00	4779.6	4779.8	4778.3	4779.3	33	0	0
2024.01.02	06:00:00	4779.1	4779.8	4778.7	4779.8	28	0	0
2024.01.02	06:15:00	4779.6	4779.8	4779.6	4779.8	7	0	0
2024.01.02	06:30:00	4780.1	4781.3	4779.8	4780.6	31	0	0
2024.01.02	06:45:00	4780.3	4781.1	4780.3	4780.6	28	0	0
2024.01.02	07:00:00	4780.8	4782.8	4780.5	4782.8	51	0	0
2024.01.02	07:15:00	4782.6	4783.3	4782.2	4782.6	56	0	0
2024.01.02	07:30:00	4782.3	4782.6	4781.8	4782.3	60	0	0
2024.01.02	07:45:00	4782.1	4782.6	4781.8	4782.3	22	0	0
2024.01.02	08:00:00	4782.5	4782.5	4781.0	4781.1	62	0	0
2024.01.02	08:15:00	4781.0	4781.5	4781.0	4781.3	49	0	0
2024.01.02	08:30:00	4781.5	4781.5	4780.0	4780.8	61	0	0
2024.01.02	08:45:00	4781.0	4781.6	4779.8	4780.1	70	0	0
2024.01.02	09:00:00	4780.0	4783.0	4780.0	4782.8	89	0	0
2024.01.02	09:15:00	4783.0	4783.8	4782.5	4783.3	95	0	0
2024.01.02	09:30:00	4783.5	4783.5	4781.5	4781.6	82	0	0
2024.01.02	09:45:00	4781.8	4783.0	4781.3	4782.3	94	0	0
2024.01.02	10:00:00	4782.8	4785.8	4782.5	4784.8	171	0	0
2024.01.02	10:15:00	4784.5	4786.3	4783.7	4786.3	172	0	0
2024.01.02	10:30:00	4786.3	4787.8	4786.3	4787.6	125	0	0
2024.01.02	10:45:00	4787.3	4787.3	4785.8	4786.5	123	0	0
2024.01.02	11:00:00	4786.6	4786.6	4782.0	4782.8	123	0	0
2024.01.02	11:15:00	4782.6	4782.6	4779.2	4780.3	164	0	0
2024.01.02	11:30:00	4780.1	4780.6	4776.5	4777.5	149	0	0
2024.01.02	11:45:00	4777.3	4778.0	4775.0	4776.3	152	0	0
2024.01.02	12:00:00	4776.5	4776.8	4773.7	4774.0	145	0	0
2024.01.02	12:15:00	4774.2	4776.5	4773.0	4773.9	145	0	0
2024.01.02	12:30:00	4774.0	4777.6	4774.0	4777.1	129	0	0
2024.01.02	12:45:00	4777.3	4777.3	4772.8	4773.3	156	0	0
2024.01.02	13:00:00	4773.0	4773.3	4764.0	4764.0	225	0	0
2024.01.02	13:15:00	4764.1	4764.3	4753.2	4753.5	412	0	0
2024.01.02	13:30:00	4753.7	4753.7	4746.2	4748.7	331	0	0
2024.01.02	13:45:00	4748.5	4753.0	4748.5	4751.7	237	0	0
2024.01.02	14:00:00	4751.7	4752.0	4746.8	4750.8	253	0	0
2024.01.02	14:15:00	4750.5	4750.6	4746.8	4748.3	213	0	0
2024.01.02	14:30:00	4748.4	4748.8	4745.5	4745.8	212	0	0
2024.01.02	14:45:00	4745.8	4747.0	4738.2	4739.0	238	0	0
2024.01.02	15:00:00	4738.5	4742.2	4738.2	4738.2	270	0	0
2024.01.02	15:15:00	4738.5	4741.5	4738.0	4739.7	229	0	0
2024.01.02	15:30:00	4739.5	4745.0	4738.0	4742.7	275	0	0
2024.01.02	15:45:00	4742.6	4743.0	4740.0	4742.5	153	0	0
2024.01.02	16:00:00	4742.7	4744.5	4737.2	4744.5	272	0	0
2024.01.02	16:15:00	4744.2	4746.7	4742.7	4743.5	206	0	0
2024.01.02	16:30:00	4743.2	4749.5	4738.0	4738.8	625	0	0
2024.01.02	16:45:00	4739.2	4742.9	4734.0	4742.9	449	0	0
2024.01.02	17:00:00	4742.3	4747.5	4740.4	4741.3	541	0	0
2024.01.02	17:15:00	4741.2	4744.7	4736.4	4737.8	497	0	0
