<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2002.09.15	4.540	4.720	4.500	4.630	1422	0	0
2002.09.22	4.640	4.710	4.460	4.490	1451	0	0
2002.09.29	4.520	4.580	4.420	4.470	600	0	0
2002.10.06	4.470	4.510	4.260	4.320	1024	0	0
2002.10.13	4.330	4.370	4.280	4.350	980	0	0
2002.10.20	4.340	4.440	4.290	4.400	961	0	0
2002.10.27	4.410	4.610	4.390	4.490	1659	0	0
2002.11.03	4.490	4.620	4.420	4.530	1117	0	0
2002.11.10	4.520	4.650	4.510	4.570	1263	0	0
2002.11.17	4.570	4.600	4.420	4.540	1103	0	0
2002.11.24	4.530	4.550	4.370	4.430	782	0	0
2002.12.01	4.450	4.700	4.400	4.640	1365	0	0
2002.12.08	4.640	4.810	4.540	4.670	1304	0	0
2002.12.15	4.680	4.770	4.580	4.610	1923	0	0
2002.12.22	4.600	4.730	4.580	4.690	798	0	0
2002.12.29	4.730	4.920	4.630	4.890	1416	0	0
2003.01.05	4.810	4.940	4.740	4.840	2263	0	0
2003.01.12	4.840	4.870	4.670	4.780	1787	0	0
2003.01.19	4.790	4.950	4.740	4.870	1784	0	0
2003.01.26	4.880	4.940	4.750	4.840	1943	0	0
2003.02.02	4.880	4.970	4.610	4.640	2675	0	0
2003.02.09	4.640	4.750	4.460	4.540	2042	0	0
2003.02.16	4.510	4.730	4.440	4.660	1148	0	0
2003.02.23	4.650	4.770	4.530	4.600	1322	0	0
2003.03.02	4.590	4.720	4.550	4.670	1089	0	0
2003.03.09	4.670	4.720	4.490	4.540	990	0	0
2003.03.16	4.560	4.610	4.330	4.350	1182	0	0
2003.03.23	4.350	4.450	4.340	4.450	1330	0	0
2003.03.30	4.450	4.510	4.340	4.420	1065	0	0
2003.04.06	4.380	4.520	4.370	4.490	957	0	0
2003.04.13	4.460	4.560	4.440	4.470	724	0	0
2003.04.20	4.470	4.680	4.460	4.620	995	0	0
2003.04.27	4.600	4.820	4.500	4.760	1515	0	0
2003.05.04	4.760	4.820	4.690	4.760	1435	0	0
