<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
1998.04.22	00:00:00	310.30	314.40	310.00	313.50	561	0	0
1998.04.23	00:00:00	312.60	315.20	311.90	314.30	491	0	0
1998.04.24	00:00:00	313.40	314.20	311.80	312.90	431	0	0
1998.04.27	00:00:00	312.25	313.65	308.90	309.90	716	0	0
1998.04.28	00:00:00	309.39	310.90	306.30	308.20	802	0	0
1998.04.29	00:00:00	307.65	311.40	307.00	310.50	596	0	0
1998.04.30	00:00:00	310.79	312.10	305.50	306.90	932	0	0
1998.05.01	00:00:00	306.25	307.20	301.10	302.50	846	0	0
1998.05.04	00:00:00	302.45	306.00	302.00	304.60	586	0	0
1998.05.05	00:00:00	303.65	305.25	302.50	303.60	546	0	0
1998.05.06	00:00:00	303.60	304.30	299.40	301.00	721	0	0
1998.05.07	00:00:00	300.45	301.50	296.60	298.75	811	0	0
1998.05.08	00:00:00	297.20	301.80	297.20	300.10	631	0	0
1998.05.11	00:00:00	299.55	301.60	297.70	300.60	676	0	0
1998.05.12	00:00:00	299.80	300.60	296.90	298.20	581	0	0
1998.05.13	00:00:00	297.80	300.10	295.20	298.70	891	0	0
1998.05.14	00:00:00	297.80	298.80	295.10	298.80	641	0	0
1998.05.15	00:00:00	298.60	303.90	298.60	301.50	771	0	0
1998.05.18	00:00:00	301.00	302.20	298.50	299.80	621	0	0
1998.05.19	00:00:00	299.15	300.70	298.10	299.00	506	0	0
1998.05.20	00:00:00	297.85	301.40	297.00	299.90	676	0	0
1998.05.21	00:00:00	299.10	300.90	298.70	300.90	261	0	0
1998.05.22	00:00:00	301.00	301.70	299.20	300.10	411	0	0
1998.05.25	00:00:00	298.85	299.50	298.80	299.50	76	0	0
1998.05.26	00:00:00	299.30	300.10	294.70	295.80	731	0	0
1998.05.27	00:00:00	294.75	296.50	290.40	293.35	1081	0	0
1998.05.28	00:00:00	294.15	295.00	292.80	293.45	371	0	0
1998.05.29	00:00:00	292.65	294.80	291.20	293.20	666	0	0
1998.06.01	00:00:00	292.75	293.40	288.10	288.70	656	0	0
1998.06.02	00:00:00	288.00	292.30	286.75	291.40	771	0	0
1998.06.03	00:00:00	290.85	294.65	290.00	293.40	676	0	0
1998.06.04	00:00:00	291.90	293.40	291.40	293.40	251	0	0
1998.06.05	00:00:00	292.60	294.20	290.30	291.90	711	0	0
1998.06.08	00:00:00	290.95	296.70	289.00	296.70	966	0	0
1998.06.09	00:00:00	294.90	299.30	292.30	293.90	1301	0	0
1998.06.10	00:00:00	292.80	295.60	288.65	293.50	1321	0	0
1998.06.11	00:00:00	292.35	294.80	286.50	287.30	1156	0	0
1998.06.12	00:00:00	286.50	289.40	284.50	286.25	956	0	0
1998.06.15	00:00:00	285.25	287.10	283.70	285.10	666	0	0
1998.06.16	00:00:00	284.25	289.00	283.95	288.90	546	0	0
1998.06.17	00:00:00	288.85	294.40	287.40	293.70	916	0	0
1998.06.18	00:00:00	295.70	296.00	290.90	293.50	801	0	0
1998.06.19	00:00:00	293.00	300.50	292.00	299.00	1101	0	0
1998.06.22	00:00:00	299.29	299.80	293.60	296.00	912	0	0
1998.06.23	00:00:00	295.85	296.35	293.40	295.30	536	0	0
1998.06.24	00:00:00	293.75	295.40	291.90	293.10	636	0	0
1998.06.25	00:00:00	292.45	295.40	292.00	294.10	516	0	0
1998.06.26	00:00:00	293.25	295.00	292.10	294.10	496	0	0
1998.06.29	00:00:00	292.90	294.60	291.90	293.90	441	0	0
1998.06.30	00:00:00	293.30	298.30	293.30	297.20	611	0	0
1998.07.01	00:00:00	297.65	298.70	295.00	296.70	646	0	0
1998.07.02	00:00:00	295.75	296.90	293.20	294.10	576	0	0
1998.07.03	00:00:00	293.50	295.55	293.40	295.10	271	0	0
1998.07.06	00:00:00	293.85	294.70	292.20	293.50	466	0	0
1998.07.07	00:00:00	293.40	295.90	292.70	295.20	461	0	0
1998.07.08	00:00:00	294.90	296.15	290.80	293.50	931	0	0
1998.07.09	00:00:00	293.00	293.90	290.60	292.35	596	0	0
1998.07.10	00:00:00	291.00	291.95	289.50	291.10	481	0	0
1998.07.13	00:00:00	289.60	292.70	288.00	291.90	711	0	0
1998.07.14	00:00:00	291.29	294.70	291.20	293.40	490	0	0
1998.07.15	00:00:00	292.95	294.70	292.05	294.00	426	0	0
1998.07.16	00:00:00	293.20	295.70	292.30	293.50	651	0	0
1998.07.17	00:00:00	293.10	294.90	292.80	294.75	256	0	0
1998.07.20	00:00:00	293.45	295.70	293.30	295.70	256	0	0
1998.07.21	00:00:00	295.35	296.10	294.50	295.10	296	0	0
1998.07.22	00:00:00	294.60	295.60	293.60	294.50	391	0	0
1998.07.23	00:00:00	293.80	295.10	292.00	293.40	581	0	0
1998.07.24	00:00:00	293.80	295.40	290.20	291.70	831	0	0
1998.07.27	00:00:00	291.10	291.95	289.30	290.60	481	0	0
1998.07.28	00:00:00	289.75	292.20	289.35	292.00	346	0	0
1998.07.29	00:00:00	291.50	292.40	289.00	290.30	561	0	0
1998.07.30	00:00:00	289.50	291.60	288.60	290.25	526	0	0
1998.07.31	00:00:00	288.80	290.50	285.70	286.70	751	0	0
1998.08.03	00:00:00	286.20	287.50	282.50	283.20	701	0	0
1998.08.04	00:00:00	283.55	289.80	283.55	288.60	746	0	0
1998.08.05	00:00:00	289.55	290.35	286.90	288.20	556	0	0
1998.08.06	00:00:00	287.50	288.80	286.30	287.70	481	0	0
1998.08.07	00:00:00	287.00	288.00	285.20	286.90	551	0	0
1998.08.10	00:00:00	286.10	287.20	285.00	287.20	331	0	0
1998.08.11	00:00:00	287.20	287.70	282.90	284.20	661	0	0
1998.08.12	00:00:00	283.80	286.90	282.10	283.00	881	0	0
1998.08.13	00:00:00	282.30	285.10	282.00	285.10	341	0	0
1998.08.14	00:00:00	284.95	286.00	283.30	284.30	476	0	0
1998.08.17	00:00:00	284.20	286.10	282.20	285.30	671	0	0
1998.08.18	00:00:00	284.45	285.90	283.80	285.20	346	0	0
1998.08.19	00:00:00	285.30	287.30	282.70	283.60	751	0	0
1998.08.20	00:00:00	283.30	286.50	282.75	285.40	541	0	0
1998.08.21	00:00:00	284.65	286.20	283.20	285.05	561	0	0
1998.08.24	00:00:00	283.90	285.50	283.60	284.90	281	0	0
1998.08.25	00:00:00	284.60	285.55	281.80	283.40	631	0	0
1998.08.26	00:00:00	282.70	285.50	280.80	282.50	921	0	0
1998.08.27	00:00:00	281.20	282.20	276.20	276.80	761	0	0
1998.08.28	00:00:00	278.40	278.40	270.75	274.60	1151	0	0
1998.08.31	00:00:00	273.90	277.40	273.80	275.80	531	0	0
1998.09.01	00:00:00	277.10	280.00	276.85	279.10	431	0	0
1998.09.02	00:00:00	278.40	281.60	278.40	280.50	431	0	0
