<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.01.02	01:05:00	2625.18	2625.61	2624.59	2625.31	212	0	17
2025.01.02	01:10:00	2625.32	2625.49	2624.38	2624.69	196	0	17
2025.01.02	01:15:00	2624.77	2624.96	2624.29	2624.50	309	0	17
2025.01.02	01:20:00	2624.46	2624.46	2623.62	2623.82	196	0	17
2025.01.02	01:25:00	2623.79	2624.19	2623.65	2623.78	115	0	17
2025.01.02	01:30:00	2623.78	2623.98	2623.09	2623.22	135	0	17
2025.01.02	01:35:00	2623.28	2623.80	2622.60	2622.75	104	0	17
2025.01.02	01:40:00	2622.79	2622.86	2621.86	2621.86	132	0	17
2025.01.02	01:45:00	2621.79	2623.33	2621.66	2623.11	175	0	17
2025.01.02	01:50:00	2623.11	2624.06	2623.04	2623.77	133	0	17
2025.01.02	01:55:00	2623.76	2624.29	2623.47	2623.72	130	0	17
2025.01.02	02:00:00	2623.72	2624.07	2622.77	2623.03	251	0	17
2025.01.02	02:05:00	2623.00	2625.53	2622.94	2625.49	171	0	17
2025.01.02	02:10:00	2625.56	2626.22	2625.18	2625.77	330	0	17
2025.01.02	02:15:00	2625.77	2625.79	2625.19	2625.61	291	0	17
2025.01.02	02:20:00	2625.61	2626.51	2625.52	2626.14	301	0	17
2025.01.02	02:25:00	2626.21	2626.45	2625.71	2626.40	251	0	17
2025.01.02	02:30:00	2626.33	2626.36	2625.39	2625.70	326	0	17
2025.01.02	02:35:00	2625.70	2626.47	2625.59	2626.33	252	0	17
2025.01.02	02:40:00	2626.34	2627.57	2626.14	2626.79	255	0	17
2025.01.02	02:45:00	2626.83	2627.77	2626.83	2626.84	349	0	17
2025.01.02	02:50:00	2626.85	2627.38	2626.61	2626.69	314	0	17
2025.01.02	02:55:00	2626.69	2626.93	2625.23	2625.26	406	0	17
2025.01.02	03:00:00	2625.34	2627.31	2623.74	2627.28	883	0	17
2025.01.02	03:05:00	2627.18	2630.40	2627.18	2629.59	759	0	17
2025.01.02	03:10:00	2629.56	2630.88	2629.41	2629.59	536	0	17
2025.01.02	03:15:00	2629.59	2631.98	2629.27	2631.38	588	0	17
2025.01.02	03:20:00	2631.38	2631.69	2629.75	2631.43	547	0	17
2025.01.02	03:25:00	2631.43	2633.02	2630.39	2632.54	491	0	17
2025.01.02	03:30:00	2632.50	2634.23	2632.50	2633.97	546	0	17
2025.01.02	03:35:00	2634.03	2634.30	2632.49	2633.09	424	0	17
2025.01.02	03:40:00	2633.09	2633.94	2632.29	2633.39	393	0	17
2025.01.02	03:45:00	2633.42	2633.45	2631.75	2632.18	536	0	17
2025.01.02	03:50:00	2632.15	2632.88	2631.54	2632.47	572	0	17
2025.01.02	03:55:00	2632.43	2633.37	2632.06	2632.86	526	0	17
